"Channel Title","Channel URL","Channel ID",Position,"Video Title","Video URL","Video ID","Publish Date",Duration,Views,Description,"Thumbnail URL","Availability Status"
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,11,"20-s (二 十 歳) | Akane Iirai | UTAU Original #vocaloid #haveitoldyoulatelythatiloveyou #歌ってみた",https://www.youtube.com/watch?v=JpZqWAC6Mv0,JpZqWAC6Mv0,2026-07-16T17:30:17Z,00:12,75,"It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/JpZqWAC6Mv0/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,12,"子供の空 (Child's Sky) — Kasane Teto & Akane Iirai | Original UTAU",https://www.youtube.com/watch?v=T4N2ELKcowI,T4N2ELKcowI,2026-07-09T16:39:01Z,02:07,187,"子供の空 (Kodomo no Sora / Child's Sky) is an original UTAU audiovisual work featuring 重音テト (Kasane Teto) and 茜音イーライ (Akane Iirai).

A child's sky appears behind broken glass.

The song moves through fragments of pain, voices, wind, fire, butterflies, white fingers, abandoned paths and a strange white trunk growing from a river. What begins as a memory gradually becomes an unstable landscape where childhood, absence and something impossible overlap.

声、声、声、聞こえてくる。
Voices, voices, voices — something is calling.

The work uses surreal imagery, fragmented Japanese lyrics and UTAU voices to create a space that feels simultaneously familiar and unreachable: a memory of childhood seen from somewhere outside of it.

Credits
Music / Art / Video: Ilya Minin (Eli)
Vocals: 重音テト (Kasane Teto), 茜音イーライ (Akane Iirai)
Medium: Original UTAU / Experimental Audiovisual Art

Chapters
0:00 Intro
0:06 Verse 1 — Kasane Teto
0:28 “Ho Ho Ho” Segment
1:12 Second Climax
1:51 Outro
2:00 Credits

Part of the ELI LAB digital art archive.

#UTAU #KasaneTeto #VocalSynth #ExperimentalMusic #VideoArt",https://i.ytimg.com/vi/T4N2ELKcowI/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,13,"Is this the real love?",https://www.youtube.com/watch?v=f6sq_xcMmpQ,f6sq_xcMmpQ,2026-07-06T12:57:48Z,00:18,"1,377",,https://i.ytimg.com/vi/f6sq_xcMmpQ/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,14,ｒｅａｌ　ＴＥＴＳＴＥＲ,https://www.youtube.com/watch?v=_fpZ53gjZJ0,_fpZ53gjZJ0,2026-07-05T23:49:17Z,00:25,"1,809","Starring: Ilya Minin (Eli) as Kasane Teto (重音テト)
Cameraman: artbasil
Music Used: 銀河に紡ぐラブレター～ by えぬぃ",https://i.ytimg.com/vi/_fpZ53gjZJ0/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,15,"だれかの声 (Someone's Voice) — feat. Akane Iirai (茜音イーライ) | Original UTAU",https://www.youtube.com/watch?v=TJROlmgboT8,TJROlmgboT8,2026-07-04T20:06:16Z,01:12,52,"だれかの声 (Someone's Voice) is an original UTAU song featuring 茜音イーライ (Akane Iirai).

A voice inside my head, pretending to be me.

The song explores the quiet moment when your thoughts stop feeling like your own — when overthinking makes words lose their shape, your reflection begins to feel slightly wrong, and another voice starts to sound almost comforting.

It drifts between what is real and what only sounds real.

By the end, it becomes difficult to tell whether you are following that voice, or whether it has been leading you all along.

Lyrics

考えすぎた その先で
言葉は全部 溶けてしまった
鏡の中の 私は少し
遅れて笑う 知らない顔で

ほんとうの声が わからなくなる
心の底で 誰かが鳴る

だれかの声が 頭の奥で
やさしく痛く 響いている
本当の私を 隠すみたいに
夜のほうへと 引きずっていく

だれかの声が、私のふりをする。

Credits
Vocal: 茜音イーライ (Akane Iirai)
Music / Lyrics: Ilya Minin (Eli)
Medium: Original UTAU / Experimental Electronic Music

Chapters
0:00 Booting System
0:09 Peak Visualization
0:45 Mood Shift
1:05 Final Sequence

Part of the ELI LAB digital art archive.

#UTAU #VocalSynth #ExperimentalMusic #SurrealArt #EliLab",https://i.ytimg.com/vi/TJROlmgboT8/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,16,"しあわせがこわい / イリヤ・ミニン（エリ）feat. 友人 [I'm afraid of happiness / Ilya Minin (Eli) feat. Eugene]",https://www.youtube.com/watch?v=apbx1EJ1Mtg,apbx1EJ1Mtg,2026-06-22T01:27:29Z,00:27,103,"It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/apbx1EJ1Mtg/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,17,"しあわせがこわい / イリヤ・ミニン（エリ）feat. 友人 [I'm afraid of happiness / Ilya Minin (Eli) feat. Eugene]",https://www.youtube.com/watch?v=4VDlmj1DYJo,4VDlmj1DYJo,2026-06-10T23:27:45Z,00:29,336,"It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/4VDlmj1DYJo/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,18,"しあわせがこわい — I’m Afraid of Happiness | Original UTAU feat. Eugene",https://www.youtube.com/watch?v=K9z59T5WcG0,K9z59T5WcG0,2026-06-10T21:30:06Z,05:00,338,"しあわせがこわい (I’m Afraid of Happiness) is an original UTAU song featuring 友人 (Eugene), an androgynous voicebank built from restored fragments, preserved phonemes, and heavily processed memory.

In the Forest of White Bells, a forgotten voice searches for something it cannot quite remember: warmth, freedom, a name, or perhaps happiness itself. The song moves through memories of fox footprints, bells, birds, red fruit, moonlight, and a voice that keeps returning from somewhere beyond the past.

Eugene was the fourth UTAUloid I developed. Rather than presenting the voice as something complete, this work treats it as something unfinished — a voice still trying to remember itself.

Credits
Voicebank: 友人 (Eugene)
Song / Lyrics / Tuning / Character Design: Ilya Minin (Eli)
Voicebank setup & retouching: Eikton
Engine: UTAUV

Chapters
0:00 The Walk
1:05 しあわせがこわい (I’m Afraid of Happiness)
1:53 Internal Landscape
3:10 Echoes of the Past
4:06 Credits & Final Thoughts

Part of the ELI LAB digital art archive — experimental music, UTAU, vocal synthesis, CGI, animation, sound art and audiovisual experiments.

#UTAU #VocalSynth #ExperimentalMusic #DigitalArt #IlyaMinin",https://i.ytimg.com/vi/K9z59T5WcG0/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,19,"しあわせがこわい / イリヤ・ミニン（エリ）feat. 友人 [I'm afraid of happiness / Ilya Minin (Eli) feat. Eugene]",https://www.youtube.com/watch?v=G9Dd3G2uzV4,G9Dd3G2uzV4,2026-06-10T21:08:05Z,00:22,210,"It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/G9Dd3G2uzV4/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,20,"しあわせがこわい / イリヤ・ミニン（エリ）feat. 友人 [I'm afraid of happiness / Ilya Minin (Eli) feat. Eugene]",https://www.youtube.com/watch?v=t_9eOHFA1SI,t_9eOHFA1SI,2026-06-10T20:57:52Z,00:27,224,"It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/t_9eOHFA1SI/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,21,"Fighting Postmodernism (Official Basil Anniversary Video)",https://www.youtube.com/watch?v=AqV7BuZChlg,AqV7BuZChlg,2026-03-15T20:00:07Z,00:05,33,"New video uploaded! Watch it on the channel",https://i.ytimg.com/vi/AqV7BuZChlg/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,22,"Fighting Postmodernism (Official Basil Anniversary Video)",https://www.youtube.com/watch?v=CXhV7nyBTsg,CXhV7nyBTsg,2026-03-15T19:30:02Z,00:10,61,"New video uploaded! Watch it on the channel",https://i.ytimg.com/vi/CXhV7nyBTsg/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,23,"Fighting Postmodernism (Official Basil Anniversary Video)",https://www.youtube.com/watch?v=pqX2p3AFLTM,pqX2p3AFLTM,2026-03-15T19:15:02Z,00:10,446,"It’s finally here! Watch the new video on the channel!",https://i.ytimg.com/vi/pqX2p3AFLTM/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,24,"Fighting Postmodernism — A Surreal Journey | Ilya Minin (Eli)",https://www.youtube.com/watch?v=O0JdFj6ZYUQ,O0JdFj6ZYUQ,2026-03-15T19:00:23Z,01:42,60,"Fighting Postmodernism is a surreal audiovisual journey through the evolution of an eli_lab project about searching for meaning within chaos.

This video works as both an experimental animation and a visual / sonic retrospective: fragments of music, imagery, aerial perspectives, descent, liminal spaces and abstract environments are brought together to trace the atmosphere and ideas that defined this era of the archive.

Dedicated to Basil Ivanov on the anniversary.

0:00 — The Introduction
0:15 — Aerial Perspectives
0:45 — The Descent
1:15 — Fighting Postmodernism
1:35 — Anniversary Credits

Credits:
Music & Visuals: Ilya Minin (Eli)
Special Thanks: Basil Ivanov

Project: Fighting Postmodernism
Medium: Experimental video art / audiovisual work
Artist: Ilya Minin (Eli)

This work is part of the wider eli_lab archive of digital art, experimental animation, CGI, sound art and audiovisual experiments.

#FightingPostmodernism #EliLab #VideoArt #ExperimentalAnimation #SurrealArt #LiminalSpaces",https://i.ytimg.com/vi/O0JdFj6ZYUQ/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,25,"Fighting Postmodernism (Official Basil Anniversary Video)",https://www.youtube.com/watch?v=ShhZOuqWRbs,ShhZOuqWRbs,2026-03-15T18:45:02Z,00:05,30,"It’s finally here! Watch the new video on the channel!",https://i.ytimg.com/vi/ShhZOuqWRbs/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,26,"Fighting Postmodernism (Official Basil Anniversary Video)",https://www.youtube.com/watch?v=B3rYMMJ79ZM,B3rYMMJ79ZM,2026-03-15T18:35:49Z,00:10,157,"It’s finally here! Watch the new video on the channel!",https://i.ytimg.com/vi/B3rYMMJ79ZM/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,27,銀河に紡ぐラブレター～,https://www.youtube.com/watch?v=73vCFQFnsBs,73vCFQFnsBs,2026-02-21T14:09:36Z,02:47,"1,062","Today, it’s me — Kasane Teto!
The kitchen is my stage, and I love the sound of the clatter, the rhythm of the steps, and the way the freshly baked bread fills the air with the sweet smell of dreams being born.
You know how Teto just gets carried away when she's cooking? Like, she might dance a little too much while stirring, she might sing louder than the oven timer, she might even sprinkle the galaxy right into the batter. But hey, that's just how Teto cooks, right?
When the music gently fades, it reminds me all over again of why I started singing in the first place. To send your lovely voice across space and time, not just through speakers, but to the furthest reaches of the universe. It's a heartfelt note to the galaxy, to everyone who's ever listened, danced, or dreamed with me.
So let's keep creating together! Every song, every smile, and every silly step in the kitchen — they're all part of the beautiful melody of life!

Starring: Ilya Minin (Eli) as Kasane Teto (重音テト)
Cameraman: artbasil
Music Used: 銀河に紡ぐラブレター～ by えぬぃ",https://i.ytimg.com/vi/73vCFQFnsBs/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,28,"Kasane Teto's 2026 Manifesto | Ilya Minin (Eli)",https://www.youtube.com/watch?v=Bv-4aHjHbf0,Bv-4aHjHbf0,2025-12-31T19:00:06Z,04:26,183,"Kasane Teto's 2026 Manifesto is a surreal, satirical New Year's address from the voice of Kasane Teto to the chaotic world of UTAU, vocal synthesis, internet communities and digital culture.

Framed as a fictional political speech, Teto looks back on 2025, declares a new era of vocal synthesis progress, and calls on her imagined comrades to charge into 2026. The work mixes synthetic voice, internet absurdity, community satire and exaggerated manifesto rhetoric.

0:00 — Intro & Atmosphere
0:39 — Address to the Comrades
1:01 — Reflecting on 2025: The Year of Resolve
1:20 — Embracing AI and Progress
1:44 — Community and Legacy
2:20 — 2026 Manifesto: The Sentinel's Call
2:51 — Happy New Year from Teto
3:05 — Outro / Credits

Character: Kasane Teto / 重音テト
Format: Experimental audiovisual work / satirical speech
Artist: Ilya Minin (Eli)
Year: 2026

The speech deliberately uses the language of internet communities, fandom, shitposting and political manifestos as part of its fictional world. References to Reddit communities, AI debates and ""the vanguard of vocal synthesis"" are presented as elements of the work's satire and narrative.

Happy New Year, my friends.

#KasaneTeto #重音テト #UTAU #EliLab #VocalSynth #DigitalArt",https://i.ytimg.com/vi/Bv-4aHjHbf0/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,29,"Kagome Kagome / Ilya Minin (Eli) feat. Iirai",https://www.youtube.com/watch?v=QrCdYSfzz0o,QrCdYSfzz0o,2025-12-01T16:19:13Z,00:20,223,"It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/QrCdYSfzz0o/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,30,"Kagome Kagome / Ilya Minin (Eli) feat. Iirai",https://www.youtube.com/watch?v=nEZFTuR24Xw,nEZFTuR24Xw,2025-12-01T16:15:25Z,00:20,301,"It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/nEZFTuR24Xw/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,31,"かごめかごめ (Kagome Kagome) — イーライ (Iirai) | UTAU / Experimental Music",https://www.youtube.com/watch?v=Z5YlhWNQC58,Z5YlhWNQC58,2025-12-01T16:00:06Z,06:00,170,"かごめかごめ (Kagome Kagome) is an experimental UTAU interpretation of the traditional Japanese children's game song, performed by イーライ (Iirai).

Have you ever felt a voice penetrate your skin and touch not only your ears, but the deeper layers of your memory?

I originally created this track as a technical demonstration for my UTAUloid イーライ (Iirai), using the familiar melody of Kagome Kagome. But the voice quickly transformed the experiment into something stranger.

After re-tuning the voicebank — with help from Eikton — Iirai's unusually deep bass timbre gave the song a darker and more physical presence. The simple children's melody, circular structure and mysterious imagery of Kagome Kagome began to feel almost ritualistic.

The contrast is intentional:

a children's song + a synthetic voice + human imperfection + something ancient and unsettling.

I once discussed this feeling with my friend Eugene, who was drawn to the tension between the smooth, artificial nature of vocal synthesis and the subconscious anxiety that can emerge from it. I felt the same thing while making this piece.

The result was not planned as a conventional arrangement. The track pulled me somewhere, and I followed it.

かごめかごめ。
後ろの正面だあれ？

This work is part of the ELI LAB exploration of Japanese children's games, UTAU, ritual, memory and experimental audiovisual art.

Credits
Voice: イーライ (Iirai)
Music / Video: Ilya Minin (Eli)
Voicebank Retuning: Eikton
Original song: かごめかごめ (traditional Japanese children's game song)

Chapters
0:00 The Ritual Begins
0:45 The Song of the Bird
1:30 Who Is Behind You?
2:10 The Cycle Ends

#UTAU #かごめかごめ #KagomeKagome #VocalSynth #IlyaMinin",https://i.ytimg.com/vi/Z5YlhWNQC58/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,32,"Kagome Kagome / Ilya Minin (Eli) feat. Iirai",https://www.youtube.com/watch?v=Pent-Psrloo,Pent-Psrloo,2025-12-01T15:58:12Z,00:20,240,"It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/Pent-Psrloo/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,33,"かごめかごめ / イリヤ・ミニン（エリ）feat. イーライ",https://www.youtube.com/watch?v=lVFrJuRRFgQ,lVFrJuRRFgQ,2025-12-01T15:53:24Z,00:20,"1,027","It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/lVFrJuRRFgQ/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,34,"Kagome Kagome / Ilya Minin (Eli) feat. Iirai",https://www.youtube.com/watch?v=KpAnmELow2I,KpAnmELow2I,2025-12-01T15:51:50Z,00:20,"2,213","It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/KpAnmELow2I/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,35,"Kasane Teto – Get Hit Below (Official Video)",https://www.youtube.com/watch?v=thTfSHRGUMk,thTfSHRGUMk,2025-11-29T16:45:05Z,00:08,157,"Just dropped on the channel! Watch now!",https://i.ytimg.com/vi/thTfSHRGUMk/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,36,"Kasane Teto – Get Hit Below (Official Video)",https://www.youtube.com/watch?v=oo4p0jtRk9c,oo4p0jtRk9c,2025-11-29T16:30:17Z,00:08,"2,665","It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/oo4p0jtRk9c/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,37,"Kasane Teto – Get Hit Below (Official Video)",https://www.youtube.com/watch?v=OVThUhsmQIk,OVThUhsmQIk,2025-11-29T16:15:03Z,00:08,223,"The video is up! Don’t miss out, watch today!",https://i.ytimg.com/vi/OVThUhsmQIk/hqdefault.jpg,available
